service,raw,expected,fsr
google_cloud_dns,320.41714320000006,0.6408342864000002,0.6153846153846154
cloud_cdn,334.59864000000005,1.0037959200000002,0.5384615384615384
cloud_load_balancing,439.6644,1.7586576,0.46153846153846156
google_app_engine,523.88,5.2388,0.38461538461538464
apigee,0.0,0.0,0.0
cloud_functions,0.0,0.0,0.0
dataflow,0.0,0.0,0.0
api_gateway,0.0,0.0,0.0
api_gateway_read,0.0,0.0,0.0
google_cloud_pub_sub,212.24,1.4856800000000001,0.07692307692307693
cloud_memorystore,236.64000000000001,2.8396800000000004,0.23076923076923078
cloud_sql,365.5,1.462,0.23076923076923078
cloud_sql_read_replica,169.64,0.5089199999999999,0.15384615384615385
cloud_storage,227.4,0.6822,0.07692307692307693
